State,Year,Crop,Temperature,Rainfall,Humidity,Soil_pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Area,Production,Yield
Haryana,2010,Maize,26.7,1877.1,65.3,6.32,129.3,50.8,54.8,1.65,184.8,538.44,2.91
Uttar Pradesh,2011,Cotton,35.8,671.0,45.5,5.99,121.4,19.7,99.2,0.41,20.9,34.35,1.64
Karnataka,2016,Wheat,15.4,2195.5,71.4,8.06,137.3,48.2,16.2,1.73,319.3,328.99,1.03
Madhya Pradesh,2015,Rice,21.8,1176.6,48.5,6.95,60.5,79.5,72.7,1.62,182.0,815.51,4.48
Rajasthan,2012,Wheat,15.1,565.0,80.6,8.0,138.5,49.6,42.6,2.36,77.7,198.2,2.55
West Bengal,2023,Rice,25.4,2170.3,43.0,6.61,72.3,10.1,17.0,2.13,467.4,862.23,1.84
West Bengal,2019,Cotton,33.2,1073.7,30.9,4.86,102.4,75.3,94.2,2.37,319.0,586.04,1.84
West Bengal,2011,Soybean,35.0,1888.3,46.1,6.35,75.1,26.4,63.1,2.42,470.3,375.05,0.8
Madhya Pradesh,2019,Maize,38.6,1392.7,41.5,7.79,75.6,58.2,77.8,1.21,291.9,885.21,3.03
Punjab,2013,Cotton,30.2,985.6,60.5,5.28,91.1,46.1,31.6,1.32,32.9,34.43,1.05
Maharashtra,2012,Wheat,21.4,2034.2,42.2,4.86,66.3,32.8,78.5,0.85,15.9,13.56,0.85
Tamil Nadu,2016,Rice,38.1,1482.0,75.8,5.82,123.1,29.8,84.6,1.37,450.4,1822.93,4.05
Gujarat,2017,Wheat,34.4,1006.9,44.5,6.06,102.4,75.0,48.8,0.55,20.3,39.83,1.96
Haryana,2011,Maize,29.4,318.5,72.4,5.73,109.7,73.8,61.5,1.74,308.0,1536.93,4.99
Punjab,2019,Groundnut,32.4,2243.8,64.7,5.04,50.0,45.9,97.5,0.26,149.7,68.19,0.46
Rajasthan,2016,Cotton,38.1,136.9,89.2,5.5,146.0,28.1,86.2,0.74,344.1,475.15,1.38
Haryana,2017,Wheat,32.8,2164.8,90.0,7.23,105.8,17.2,50.0,0.68,143.1,140.4,0.98
West Bengal,2015,Wheat,24.2,931.9,82.2,6.04,45.6,21.0,69.8,2.36,19.6,37.9,1.94
Uttar Pradesh,2015,Maize,32.8,1616.4,75.6,7.03,117.6,46.6,80.6,0.53,365.7,1090.34,2.98
Rajasthan,2019,Groundnut,16.0,2309.4,53.2,6.65,42.6,31.5,12.2,2.25,156.1,51.09,0.33
Haryana,2010,Rice,24.7,421.7,75.2,6.7,28.2,12.9,63.0,0.49,275.8,364.96,1.32
West Bengal,2013,Groundnut,25.2,1439.0,87.4,5.49,88.6,41.9,98.6,1.7,387.2,220.63,0.57
Haryana,2023,Wheat,19.2,1922.9,31.4,6.59,92.0,62.2,95.2,0.94,351.7,581.03,1.65
Uttar Pradesh,2010,Maize,15.6,1906.1,62.3,4.59,44.6,72.4,84.9,0.93,174.9,221.96,1.27
West Bengal,2013,Rice,18.3,1337.8,43.1,6.23,65.3,51.0,19.6,2.5,374.2,1055.23,2.82
Maharashtra,2011,Groundnut,31.4,1580.6,63.5,6.79,143.0,60.6,99.5,0.72,462.9,535.23,1.16
Punjab,2020,Groundnut,35.1,1905.9,58.0,5.23,57.1,35.5,64.9,0.67,305.4,89.15,0.29
Karnataka,2022,Groundnut,39.7,2110.5,64.5,5.53,40.2,44.7,30.1,1.56,352.0,128.94,0.37
Gujarat,2014,Soybean,23.7,1916.4,63.1,5.38,149.0,61.1,70.7,1.9,433.1,406.38,0.94
Madhya Pradesh,2019,Rice,30.0,917.3,87.6,4.78,59.3,60.9,87.1,2.46,422.0,1084.21,2.57
Gujarat,2023,Groundnut,38.4,2492.0,63.1,5.89,108.4,39.7,20.1,1.81,176.4,105.61,0.6
Rajasthan,2018,Soybean,19.2,1114.5,80.8,8.42,50.1,48.1,92.5,1.49,495.9,567.15,1.14
Gujarat,2020,Cotton,32.9,109.9,49.2,5.92,91.5,74.7,92.8,1.14,15.3,25.59,1.68
West Bengal,2021,Maize,33.9,938.4,56.3,6.34,70.2,54.2,11.2,1.57,493.4,1647.19,3.34
Maharashtra,2019,Groundnut,17.2,363.1,58.2,7.11,145.0,55.0,91.0,1.58,123.8,196.58,1.59
Karnataka,2012,Rice,36.5,347.5,46.7,7.09,76.3,64.9,95.2,0.7,220.8,596.54,2.7
Punjab,2017,Soybean,35.3,739.8,52.8,8.3,95.9,18.1,13.4,1.74,442.0,410.79,0.93
Punjab,2012,Soybean,15.8,180.8,65.9,7.93,142.8,46.6,36.5,0.67,122.9,182.42,1.48
Uttar Pradesh,2015,Cotton,17.3,1736.9,64.8,7.68,148.6,77.2,43.6,1.33,113.2,88.38,0.78
Madhya Pradesh,2013,Sugarcane,16.2,231.3,68.2,8.31,33.2,35.3,41.4,0.8,321.9,3255.11,10.11
Haryana,2017,Maize,23.4,548.1,51.1,5.42,128.5,30.6,78.3,0.92,353.0,1293.61,3.66
Maharashtra,2020,Sugarcane,27.7,277.6,48.9,6.97,69.7,52.1,42.2,1.61,4.7,157.27,33.26
Haryana,2015,Rice,28.3,204.8,66.7,8.05,97.3,25.5,96.1,0.35,225.8,410.75,1.82
Karnataka,2017,Maize,21.7,706.0,38.0,7.0,68.8,48.9,99.5,0.23,245.1,1289.03,5.26
Gujarat,2010,Cotton,37.8,1451.2,45.2,8.41,72.1,20.9,38.5,0.5,136.6,50.28,0.37
Punjab,2015,Rice,24.2,2413.5,32.5,4.9,40.7,50.6,55.8,0.59,273.5,372.61,1.36
Karnataka,2010,Maize,16.1,2195.1,34.4,6.26,94.5,52.2,60.2,0.66,78.1,149.58,1.91
Gujarat,2010,Maize,22.5,2196.0,44.6,8.41,91.1,39.3,62.1,1.98,162.5,240.74,1.48
Punjab,2017,Sugarcane,28.3,481.4,31.2,6.02,44.6,36.8,43.7,1.23,356.9,8717.21,24.42
Gujarat,2016,Rice,25.2,699.0,44.7,7.46,90.4,27.2,24.9,1.28,437.0,808.25,1.85
Madhya Pradesh,2012,Cotton,21.8,237.2,69.3,4.62,146.5,33.2,14.9,1.68,295.1,184.9,0.63
Maharashtra,2015,Cotton,18.3,1957.2,33.7,7.28,112.9,44.9,19.6,1.88,38.3,23.58,0.61
Rajasthan,2018,Rice,35.5,221.0,56.2,8.24,82.5,27.3,91.1,0.21,339.7,469.94,1.38
Karnataka,2016,Rice,39.9,1413.9,84.8,6.03,139.1,64.8,35.2,2.17,448.9,1685.16,3.75
Karnataka,2021,Soybean,23.2,657.3,77.5,4.59,94.8,59.6,16.9,2.47,252.7,404.37,1.6
Tamil Nadu,2012,Wheat,24.5,646.4,48.3,4.61,37.6,28.9,66.1,0.48,247.4,383.91,1.55
West Bengal,2023,Sugarcane,30.5,2477.3,85.5,8.07,91.2,16.8,16.8,1.7,495.7,12474.71,25.17
Madhya Pradesh,2023,Rice,33.0,1904.1,49.8,7.39,43.5,10.0,16.3,0.21,318.5,544.36,1.71
Madhya Pradesh,2022,Rice,24.8,2100.5,34.4,4.93,119.8,51.8,65.9,0.31,403.2,802.96,1.99
Haryana,2015,Wheat,37.6,1451.4,89.6,4.72,145.7,24.8,63.2,0.86,323.6,196.45,0.61
Gujarat,2020,Wheat,29.0,2184.0,82.2,7.72,66.9,10.9,13.7,2.15,111.2,78.79,0.71
West Bengal,2013,Maize,26.3,1631.5,58.0,7.74,76.5,35.1,51.4,1.7,142.8,356.03,2.49
Maharashtra,2023,Groundnut,31.2,2368.1,70.0,4.98,74.8,77.3,49.2,1.23,333.2,171.4,0.51
Maharashtra,2022,Cotton,38.8,739.3,70.3,5.71,57.1,58.3,59.2,1.21,228.6,404.12,1.77
Madhya Pradesh,2012,Sugarcane,34.9,1508.5,41.7,7.62,123.2,70.0,76.4,1.27,202.8,18699.67,92.22
Maharashtra,2018,Maize,16.0,1740.8,42.0,6.6,100.3,20.1,35.5,0.92,12.2,16.83,1.38
Tamil Nadu,2019,Rice,23.3,1012.7,58.2,8.33,28.3,15.1,49.0,2.22,442.3,615.26,1.39
Karnataka,2011,Wheat,26.8,2205.3,84.7,6.42,129.0,10.8,81.3,1.51,442.4,573.03,1.3
Uttar Pradesh,2010,Soybean,22.9,2450.5,30.6,7.21,44.3,76.9,93.0,1.31,231.0,296.6,1.28
Rajasthan,2023,Cotton,32.5,1259.7,77.0,6.54,147.3,31.0,90.2,1.27,350.7,631.28,1.8
Haryana,2011,Maize,35.7,1007.1,33.5,8.27,69.0,42.2,53.0,2.35,89.7,204.78,2.28
Gujarat,2016,Soybean,33.3,1206.2,58.7,6.09,100.1,37.6,56.9,1.86,252.4,336.57,1.33
Rajasthan,2019,Cotton,39.7,2139.2,68.3,5.42,30.1,61.1,57.6,0.53,220.0,83.97,0.38
Gujarat,2010,Groundnut,21.8,1631.4,71.2,5.81,64.8,31.7,88.2,1.21,328.7,214.9,0.65
Punjab,2015,Groundnut,36.9,159.7,33.5,7.91,124.3,47.5,85.6,0.86,235.4,261.31,1.11
Rajasthan,2023,Soybean,34.2,1378.3,55.1,6.49,82.0,79.7,38.0,2.47,249.7,315.02,1.26
Uttar Pradesh,2016,Wheat,24.1,92.4,65.0,5.92,137.6,41.1,24.7,1.16,148.6,284.37,1.91
Madhya Pradesh,2018,Maize,33.4,1957.4,34.0,6.68,94.8,48.6,44.1,0.36,25.2,36.66,1.46
Tamil Nadu,2023,Maize,17.6,854.4,38.1,5.03,140.7,45.2,36.0,1.15,458.6,1319.05,2.88
Karnataka,2017,Groundnut,34.7,1206.4,69.8,4.52,147.7,66.2,95.6,0.94,7.1,6.02,0.85
Karnataka,2015,Cotton,28.3,2006.8,61.3,5.62,79.0,28.7,33.9,1.58,141.4,90.84,0.64
Tamil Nadu,2012,Soybean,22.3,163.8,39.7,6.92,93.5,21.9,26.3,0.72,224.4,250.27,1.12
West Bengal,2017,Wheat,31.4,438.4,62.1,7.35,128.5,62.8,91.0,0.28,160.2,471.27,2.94
Punjab,2016,Rice,31.0,1025.0,84.8,7.81,48.8,39.1,17.8,0.42,276.4,524.59,1.9
Gujarat,2012,Maize,20.2,613.3,30.9,8.21,132.0,74.0,33.4,0.85,231.3,808.77,3.5
Uttar Pradesh,2018,Rice,15.8,877.9,68.6,6.15,96.9,55.1,49.5,1.0,128.5,310.02,2.41
Maharashtra,2021,Wheat,25.8,2495.5,34.4,7.46,114.3,49.5,63.6,2.12,44.9,67.62,1.51
Rajasthan,2011,Groundnut,29.2,2072.3,30.4,4.8,30.4,14.9,39.5,0.82,69.6,19.26,0.28
Punjab,2012,Maize,36.9,2215.6,39.0,4.73,119.6,61.1,54.7,0.27,243.7,339.22,1.39
Rajasthan,2011,Maize,38.2,2345.8,55.4,5.0,60.4,58.0,27.9,2.0,423.1,426.57,1.01
Uttar Pradesh,2022,Soybean,28.2,885.3,78.1,6.29,124.7,54.8,61.7,2.2,51.2,130.32,2.54
Haryana,2010,Rice,33.8,777.8,46.9,5.35,86.2,28.8,46.7,1.33,338.9,544.22,1.61
Haryana,2013,Groundnut,26.0,623.5,67.5,5.65,55.7,76.3,86.4,0.86,396.3,842.14,2.13
Punjab,2014,Soybean,33.7,2083.8,54.7,7.09,143.9,32.5,47.4,1.98,139.1,127.37,0.92
Madhya Pradesh,2022,Sugarcane,20.1,1714.9,44.1,5.93,119.5,20.7,49.9,0.22,334.5,13974.72,41.78
Uttar Pradesh,2015,Rice,24.3,628.6,60.9,6.73,148.1,79.1,63.3,2.33,343.6,1644.32,4.78
Uttar Pradesh,2014,Rice,30.9,973.6,77.8,6.15,67.4,62.2,21.1,2.19,354.2,1107.07,3.13
Tamil Nadu,2010,Sugarcane,15.5,1291.4,79.9,5.18,104.4,39.0,24.1,1.45,445.5,11184.0,25.1
Madhya Pradesh,2012,Wheat,33.1,1343.9,80.8,4.8,99.5,75.5,81.1,0.84,199.9,191.08,0.96
Gujarat,2010,Wheat,35.9,2227.4,50.3,5.44,109.4,16.4,34.6,0.28,122.6,57.65,0.47
Gujarat,2020,Maize,25.0,982.4,77.6,4.73,25.0,16.1,71.6,2.5,272.4,625.33,2.3
Maharashtra,2014,Cotton,26.2,2275.9,42.7,6.97,57.9,57.8,18.8,1.95,32.2,20.89,0.65
Karnataka,2014,Soybean,36.3,1131.4,74.3,7.68,138.2,22.5,84.0,0.98,167.6,252.32,1.51
Haryana,2021,Cotton,34.4,1878.6,86.9,5.86,75.1,74.2,98.9,0.24,441.7,435.8,0.99
Gujarat,2020,Maize,22.2,2329.1,30.8,6.05,144.9,68.8,43.6,1.67,266.5,749.17,2.81
Madhya Pradesh,2022,Cotton,23.1,2273.6,56.4,7.76,47.8,31.4,55.5,2.47,218.9,120.8,0.55
Uttar Pradesh,2015,Rice,32.0,189.5,68.9,5.39,149.7,72.2,49.8,1.83,133.6,234.88,1.76
Gujarat,2017,Rice,29.1,554.0,72.1,4.98,110.7,13.0,90.5,0.39,125.9,221.63,1.76
Uttar Pradesh,2019,Sugarcane,19.1,1218.4,40.6,6.5,120.9,48.4,10.9,1.13,119.1,4196.84,35.25
Gujarat,2021,Sugarcane,22.7,1107.3,88.3,7.08,71.6,75.5,68.8,0.45,414.8,24190.45,58.32
Haryana,2010,Maize,37.5,1620.2,66.9,6.9,137.9,69.9,68.7,2.3,492.5,1676.31,3.4
Rajasthan,2013,Maize,32.2,2364.5,39.9,7.36,90.9,34.9,44.4,0.96,267.9,504.11,1.88
Gujarat,2019,Groundnut,39.6,325.4,31.2,4.73,108.5,22.8,29.7,1.89,40.8,22.02,0.54
Madhya Pradesh,2020,Maize,34.2,1157.1,77.0,6.21,32.3,24.7,31.6,0.39,375.8,713.85,1.9
Gujarat,2010,Rice,38.5,521.4,34.8,5.45,102.1,46.0,82.0,0.5,438.7,773.35,1.76
Karnataka,2018,Cotton,20.4,2240.6,38.5,7.54,134.3,51.8,15.9,1.76,465.7,310.61,0.67
Haryana,2020,Soybean,34.3,2413.2,64.5,7.99,43.2,12.3,60.7,2.14,314.8,155.6,0.49
Madhya Pradesh,2016,Groundnut,15.5,1222.8,66.2,5.63,115.9,38.9,37.6,0.66,253.9,161.44,0.64
Tamil Nadu,2016,Groundnut,31.8,304.8,71.2,4.88,23.3,68.1,33.9,1.16,310.6,178.69,0.58
Madhya Pradesh,2021,Groundnut,26.7,1974.0,53.6,5.51,140.4,41.1,55.5,1.62,7.5,6.19,0.83
Karnataka,2014,Maize,23.7,1758.0,76.4,4.92,147.8,21.8,90.8,2.03,328.1,734.84,2.24
Rajasthan,2016,Maize,36.6,918.9,88.5,5.79,66.0,76.8,65.6,1.64,355.1,1845.05,5.2
Haryana,2021,Rice,36.4,2224.1,46.3,6.65,33.9,28.6,81.0,0.42,361.3,671.04,1.86
Tamil Nadu,2011,Soybean,15.6,2440.8,72.2,8.39,105.6,65.9,64.1,1.45,282.0,172.1,0.61
Karnataka,2023,Rice,30.2,1416.7,85.7,6.1,23.9,23.6,72.8,2.23,350.3,876.99,2.5
Karnataka,2022,Soybean,24.2,1436.0,71.2,5.38,82.7,39.6,48.9,2.2,319.8,218.87,0.68
Punjab,2013,Rice,25.4,778.9,70.9,5.17,55.3,44.3,93.3,1.55,58.6,118.49,2.02
Haryana,2023,Cotton,35.8,1482.0,43.4,5.19,81.5,45.0,55.2,2.49,449.3,319.46,0.71
Madhya Pradesh,2023,Maize,22.7,1127.1,62.1,5.27,22.4,46.2,59.7,0.44,311.7,490.65,1.57
Uttar Pradesh,2016,Wheat,38.6,790.4,63.8,7.55,26.7,25.7,57.2,1.3,364.2,503.92,1.38
Rajasthan,2012,Wheat,19.5,214.6,72.0,4.74,22.1,46.1,38.5,1.98,172.1,168.53,0.98
Uttar Pradesh,2011,Maize,31.6,669.1,89.8,8.49,100.5,43.7,30.8,0.52,459.7,1008.96,2.19
Madhya Pradesh,2019,Groundnut,31.8,534.7,32.0,6.59,92.8,24.6,16.6,2.44,251.8,318.11,1.26
Madhya Pradesh,2011,Maize,21.3,1378.0,33.9,6.68,50.3,79.2,74.6,1.01,339.8,1113.79,3.28
Haryana,2022,Maize,23.1,1524.1,34.7,5.93,104.1,70.6,36.0,1.01,476.1,1651.54,3.47
Madhya Pradesh,2010,Maize,35.9,1541.0,74.6,7.26,134.9,72.1,45.0,0.69,458.1,1433.29,3.13
Punjab,2014,Groundnut,34.0,1001.0,38.2,6.39,56.1,58.0,92.8,0.86,322.8,437.82,1.36
Tamil Nadu,2021,Soybean,23.2,1082.0,67.3,5.82,128.2,21.2,61.0,1.53,83.7,149.79,1.79
Madhya Pradesh,2015,Cotton,28.3,2093.9,49.5,5.56,106.1,49.8,18.7,1.19,475.3,300.66,0.63
Uttar Pradesh,2015,Wheat,16.5,1216.8,57.4,8.2,24.4,67.5,82.0,0.64,492.1,431.91,0.88
Madhya Pradesh,2018,Sugarcane,20.2,2470.0,42.9,5.66,68.8,12.7,33.1,2.06,52.6,1254.67,23.86
Punjab,2013,Wheat,27.1,1127.1,82.0,6.25,86.0,44.7,59.7,0.34,225.7,406.72,1.8
Gujarat,2010,Wheat,17.1,1641.5,65.2,5.9,115.1,37.7,55.9,2.12,274.6,437.2,1.59
Gujarat,2015,Groundnut,36.1,173.4,86.7,4.84,57.3,24.8,31.4,0.83,46.9,19.23,0.41
Karnataka,2014,Rice,33.0,1650.7,64.5,5.24,147.8,36.5,20.4,1.34,95.7,203.76,2.13
Rajasthan,2019,Maize,38.6,2136.0,37.4,5.26,109.0,78.8,29.0,1.08,269.3,349.95,1.3
Maharashtra,2015,Maize,32.3,2359.0,40.3,7.27,68.5,60.6,18.8,1.51,481.6,671.26,1.39
Tamil Nadu,2012,Maize,38.5,2493.4,89.3,6.13,32.6,31.0,34.8,2.03,14.9,16.25,1.09
West Bengal,2011,Rice,28.9,741.3,73.5,7.63,43.6,52.4,99.8,2.48,456.3,1445.66,3.17
Karnataka,2015,Groundnut,30.0,1459.7,33.0,7.34,83.4,27.3,46.2,0.9,449.4,267.64,0.6
Rajasthan,2022,Cotton,39.4,1154.3,72.2,5.27,84.3,52.8,87.7,1.47,428.7,408.89,0.95
Gujarat,2010,Cotton,31.1,1431.4,54.7,6.75,119.8,72.7,59.4,1.27,189.4,278.2,1.47
Uttar Pradesh,2016,Groundnut,15.8,435.8,48.4,7.47,114.4,49.0,70.0,2.5,245.9,426.72,1.74
West Bengal,2016,Sugarcane,33.1,2147.6,39.2,7.03,46.2,61.3,24.1,2.06,202.4,11468.81,56.67
Rajasthan,2019,Cotton,37.6,2278.4,80.4,6.9,97.3,41.7,34.7,1.11,473.8,313.67,0.66
Rajasthan,2022,Groundnut,34.9,1151.7,33.8,7.46,22.7,46.7,55.9,1.3,261.2,152.31,0.58
Karnataka,2016,Cotton,29.6,737.1,47.4,4.73,71.8,58.7,89.3,0.77,41.2,55.75,1.35
West Bengal,2021,Maize,31.8,395.0,48.4,7.43,119.3,66.9,13.9,1.94,137.8,505.78,3.67
Haryana,2020,Soybean,39.8,1725.2,39.7,5.59,71.9,56.2,55.6,2.14,231.6,203.83,0.88
Maharashtra,2019,Groundnut,17.3,815.0,60.5,6.79,128.6,78.4,14.6,2.42,476.8,648.66,1.36
Haryana,2010,Wheat,31.7,2278.4,30.7,5.47,146.9,67.4,51.1,1.5,284.9,330.63,1.16
West Bengal,2013,Cotton,22.1,1694.0,48.1,7.86,98.9,64.4,66.6,1.74,348.3,351.32,1.01
Haryana,2022,Cotton,31.0,1631.9,86.0,6.42,38.9,69.2,77.0,1.23,45.2,46.89,1.04
Punjab,2016,Rice,30.2,1420.5,48.6,7.07,69.4,29.7,22.5,1.6,438.8,1191.56,2.72
Gujarat,2020,Sugarcane,18.8,162.2,51.6,7.68,21.2,40.2,25.0,1.0,270.0,4384.33,16.24
Punjab,2018,Soybean,20.2,2333.2,58.4,8.08,98.4,49.5,52.3,1.9,460.7,298.04,0.65
Madhya Pradesh,2014,Rice,30.5,1588.4,63.7,7.43,126.8,42.4,99.8,0.25,223.3,1007.9,4.51
Haryana,2022,Maize,18.2,2485.5,78.5,5.1,101.9,69.3,42.0,0.27,341.9,392.98,1.15
Madhya Pradesh,2011,Wheat,21.6,1366.5,41.4,7.92,122.2,11.9,48.5,1.85,235.9,310.58,1.32
Uttar Pradesh,2016,Sugarcane,35.9,1789.8,82.3,6.97,124.0,24.6,48.9,2.34,72.1,4545.14,63.01
Tamil Nadu,2019,Rice,23.2,187.7,75.5,6.94,130.6,71.7,17.3,1.65,136.8,354.17,2.59
Uttar Pradesh,2010,Groundnut,27.2,1597.8,73.4,8.19,54.7,14.1,79.7,1.87,34.6,12.62,0.37
West Bengal,2016,Cotton,38.5,1923.4,35.2,5.5,133.3,25.9,32.8,2.1,220.7,107.52,0.49
Rajasthan,2015,Cotton,20.7,1957.4,31.3,5.46,105.0,34.6,73.3,1.03,325.0,156.59,0.48
Gujarat,2016,Sugarcane,24.7,1936.8,65.6,6.55,57.7,62.6,52.8,0.45,122.6,7129.7,58.15
Haryana,2023,Cotton,30.2,604.4,81.8,7.5,148.3,49.2,65.1,2.35,245.7,570.7,2.32
Karnataka,2022,Groundnut,33.9,2439.7,65.1,6.29,143.5,76.8,14.9,2.36,230.0,220.68,0.96
Tamil Nadu,2019,Rice,37.5,2488.2,42.8,7.04,94.7,26.0,90.1,1.22,267.2,715.19,2.68
Maharashtra,2012,Rice,37.9,235.2,35.4,6.31,129.6,71.0,31.9,0.7,93.1,175.83,1.89
Maharashtra,2012,Cotton,34.4,2344.3,72.0,6.94,54.0,29.8,70.3,2.25,267.5,207.19,0.77
Maharashtra,2016,Cotton,20.7,759.2,73.3,7.79,74.1,27.2,81.8,1.83,182.7,282.07,1.54
Haryana,2022,Maize,15.6,1738.7,40.4,5.22,43.9,44.9,58.6,0.22,143.7,115.48,0.8
Maharashtra,2011,Wheat,24.6,878.4,31.7,7.28,87.6,15.0,40.4,0.45,293.4,486.3,1.66
Punjab,2010,Sugarcane,18.5,2421.0,54.5,7.65,84.5,36.9,98.0,2.46,74.9,3574.9,47.75
Tamil Nadu,2018,Rice,32.8,298.7,65.0,6.29,47.7,34.9,35.1,0.29,450.4,641.03,1.42
Punjab,2018,Sugarcane,31.5,1269.5,72.4,5.79,107.5,21.2,95.4,0.85,467.5,28813.67,61.63
Rajasthan,2016,Maize,16.1,1098.7,78.6,4.55,35.3,70.3,24.1,1.46,330.6,612.09,1.85
Tamil Nadu,2016,Rice,35.9,848.8,66.6,7.69,28.0,37.0,45.0,0.62,152.3,246.47,1.62
Punjab,2012,Maize,21.2,1631.6,36.7,5.81,70.0,78.7,22.5,0.73,313.4,770.47,2.46
Tamil Nadu,2019,Maize,25.8,371.1,71.0,5.93,73.3,73.0,10.2,1.01,301.2,950.29,3.16
Rajasthan,2011,Soybean,31.7,1805.8,89.1,5.84,61.6,23.6,33.4,0.82,196.2,111.07,0.57
Madhya Pradesh,2020,Cotton,25.7,2452.5,84.3,6.49,53.5,45.4,17.8,2.05,144.3,65.4,0.45
Haryana,2016,Groundnut,26.0,2021.2,82.3,7.31,64.0,52.1,98.8,1.35,85.1,75.55,0.89
Haryana,2018,Soybean,16.6,2157.0,48.1,7.59,41.2,67.3,78.5,0.84,109.5,104.28,0.95
Maharashtra,2010,Sugarcane,25.0,931.1,75.0,6.07,72.4,72.0,10.3,0.92,326.9,11039.62,33.77
Uttar Pradesh,2022,Groundnut,34.1,846.0,81.1,7.15,137.6,53.7,30.1,0.29,443.1,514.95,1.16
Maharashtra,2023,Sugarcane,37.9,1316.8,70.7,7.38,49.2,12.5,70.3,0.31,193.1,6704.08,34.72
West Bengal,2013,Cotton,25.3,162.0,45.0,5.69,109.0,43.7,45.9,1.85,61.8,64.47,1.04
Punjab,2015,Groundnut,25.6,2366.1,87.2,4.89,38.4,71.9,84.9,0.46,7.4,3.07,0.42
Tamil Nadu,2016,Soybean,32.6,402.3,57.0,8.08,66.0,60.0,55.4,1.29,203.5,219.64,1.08
Uttar Pradesh,2019,Sugarcane,38.6,2262.4,37.8,7.21,61.8,70.9,68.8,2.14,117.1,7682.12,65.63
Rajasthan,2016,Soybean,21.7,254.8,36.6,7.09,141.8,57.2,63.7,1.05,162.0,316.79,1.96
West Bengal,2019,Cotton,26.0,2065.4,68.9,4.74,75.6,13.1,67.4,1.0,121.6,44.64,0.37
Rajasthan,2011,Groundnut,34.9,422.3,56.3,7.77,109.8,77.8,30.7,2.21,332.4,577.42,1.74
Haryana,2023,Groundnut,30.2,143.4,35.7,6.76,98.3,74.3,43.6,2.19,319.6,473.46,1.48
Haryana,2013,Rice,17.8,1812.7,74.4,7.89,38.3,18.9,14.6,2.22,456.2,909.97,1.99
Maharashtra,2014,Maize,30.7,736.6,78.0,8.4,142.1,17.9,62.9,1.52,350.2,1281.6,3.66
Punjab,2023,Maize,19.7,1800.5,73.5,8.33,65.0,47.7,51.3,2.39,83.3,107.42,1.29
Uttar Pradesh,2021,Soybean,27.8,1410.0,42.1,7.92,25.8,63.0,78.5,2.08,376.0,441.71,1.17
Gujarat,2010,Groundnut,28.2,316.6,71.4,4.54,59.1,36.8,28.6,1.16,91.5,55.51,0.61
West Bengal,2010,Sugarcane,36.9,2333.7,30.6,8.04,63.6,19.5,49.3,1.65,279.7,8415.6,30.08
West Bengal,2019,Soybean,26.6,1158.2,48.3,4.8,32.1,45.7,26.3,0.48,39.5,25.1,0.64
Maharashtra,2012,Soybean,22.0,1849.4,53.9,7.9,100.6,33.6,65.3,1.47,24.6,22.12,0.9
Haryana,2019,Wheat,20.8,1277.5,80.1,5.62,65.1,34.6,86.3,0.81,232.7,375.21,1.61
Maharashtra,2012,Groundnut,36.9,1530.7,53.4,6.94,101.8,55.1,78.9,0.85,53.4,41.56,0.78
Tamil Nadu,2021,Maize,19.3,791.8,30.7,4.65,20.9,72.0,95.0,0.49,154.0,436.15,2.83
Uttar Pradesh,2017,Groundnut,25.6,540.9,51.1,7.58,147.7,49.1,97.5,1.02,170.1,446.56,2.63
Punjab,2018,Cotton,19.7,1379.3,59.9,4.95,42.2,58.1,79.5,1.31,384.9,241.02,0.63
Madhya Pradesh,2023,Soybean,34.3,1128.5,86.9,6.14,105.7,56.2,35.8,1.58,167.0,263.21,1.58
Karnataka,2020,Wheat,26.9,1005.8,86.5,7.77,113.1,48.6,29.7,0.9,247.7,473.21,1.91
Karnataka,2021,Wheat,23.8,1697.8,40.9,7.28,42.3,31.8,50.3,2.02,386.5,338.45,0.88
Maharashtra,2010,Maize,24.0,1741.7,41.1,4.52,34.5,36.4,99.4,1.4,103.2,153.87,1.49
Tamil Nadu,2023,Maize,36.3,162.5,39.8,6.11,39.8,32.1,47.1,1.67,402.6,781.0,1.94
Uttar Pradesh,2020,Maize,28.8,879.9,77.3,4.67,52.1,74.2,27.9,0.84,416.1,1008.38,2.42
Gujarat,2011,Cotton,32.9,1058.8,30.4,7.19,41.9,67.9,95.0,2.07,494.4,919.33,1.86
Karnataka,2019,Wheat,37.4,287.4,37.6,8.38,107.6,50.6,44.7,1.64,222.6,297.85,1.34
Uttar Pradesh,2011,Sugarcane,37.5,628.0,62.3,7.12,74.7,73.9,72.2,2.18,186.0,11579.7,62.27
Punjab,2013,Cotton,23.2,176.5,44.9,5.4,89.9,72.0,80.9,0.57,351.3,259.35,0.74
Rajasthan,2011,Rice,38.8,2490.8,35.5,5.92,26.2,74.9,85.9,1.08,30.0,75.08,2.5
Tamil Nadu,2016,Soybean,15.6,1854.6,51.6,8.41,132.0,25.5,83.9,0.46,20.8,14.53,0.7
Haryana,2022,Maize,24.4,264.3,46.5,5.4,42.2,60.2,85.3,0.7,168.2,401.97,2.39
Uttar Pradesh,2018,Wheat,37.4,99.6,60.7,6.75,66.8,52.6,70.1,1.11,365.0,464.53,1.27
